scrape_date,id_departure,id_arrival,departure_datetime,arrival_datetime,airline,travel_class,is_nonstop,price
2024-12-05,SGN,HAN,2024-12-06 12:30,2024-12-06 14:40,Vietjet,Economy,Nonstop,2732600
2024-12-05,SGN,HAN,2024-12-06 05:10,2024-12-06 07:20,Bamboo Airways,Economy,Nonstop,2797000
2024-12-05,SGN,HAN,2024-12-06 05:45,2024-12-06 07:55,Vietravel Airlines,Economy,Nonstop,2914040
2024-12-05,SGN,HAN,2024-12-06 20:55,2024-12-07 10:50,Bamboo Airways,Economy,1 stop in DAD,2375000
2024-12-05,SGN,HAN,2024-12-06 12:40,2024-12-06 14:50,Vietjet,Economy,Nonstop,2732600
2024-12-05,SGN,HAN,2024-12-06 15:05,2024-12-06 17:10,Vietjet,Economy,Nonstop,2732600
2024-12-05,SGN,HAN,2024-12-06 15:20,2024-12-06 17:30,Vietjet,Economy,Nonstop,2732600
2024-12-05,SGN,HAN,2024-12-06 23:20,2024-12-07 01:25,Bamboo Airways,Economy,Nonstop,2797000
2024-12-05,SGN,HAN,2024-12-06 11:10,2024-12-06 13:20,Vietjet,Economy,Nonstop,2916200
2024-12-05,SGN,HAN,2024-12-06 12:10,2024-12-06 14:20,Vietjet,Economy,Nonstop,2916200
2024-12-05,SGN,HAN,2024-12-06 13:45,2024-12-06 16:00,Vietjet,Economy,Nonstop,2916200
2024-12-05,SGN,HAN,2024-12-06 14:35,2024-12-06 16:40,Vietjet,Economy,Nonstop,2916200
2024-12-05,SGN,HAN,2024-12-06 16:00,2024-12-06 18:10,Vietjet,Economy,Nonstop,2916200
2024-12-05,SGN,HAN,2024-12-06 19:10,2024-12-06 21:20,Vietjet,Economy,Nonstop,2916200
2024-12-05,SGN,HAN,2024-12-06 21:00,2024-12-06 23:05,Vietjet,Economy,Nonstop,2916200
2024-12-05,SGN,HAN,2024-12-06 13:30,2024-12-06 15:40,Bamboo Airways,Economy,Nonstop,3057000
2024-12-05,SGN,HAN,2024-12-06 19:55,2024-12-06 22:05,Bamboo Airways,Economy,Nonstop,3057000
2024-12-05,SGN,HAN,2024-12-06 20:35,2024-12-06 22:45,Bamboo Airways,Economy,Nonstop,3057000
2024-12-05,SGN,HAN,2024-12-06 05:20,2024-12-06 07:30,Vietjet,Economy,Nonstop,3132200
2024-12-05,SGN,HAN,2024-12-06 06:00,2024-12-06 08:10,Vietjet,Economy,Nonstop,3132200
2024-12-05,SGN,HAN,2024-12-06 07:00,2024-12-06 09:10,Vietjet,Economy,Nonstop,3132200
2024-12-05,SGN,HAN,2024-12-06 08:15,2024-12-06 10:20,Vietjet,Economy,Nonstop,3132200
2024-12-05,SGN,HAN,2024-12-06 10:00,2024-12-06 12:10,Vietjet,Economy,Nonstop,3132200
2024-12-05,SGN,HAN,2024-12-06 20:45,2024-12-06 22:50,Vietjet,Economy,Nonstop,3380600
2024-12-05,SGN,HAN,2024-12-06 22:05,2024-12-07 00:10,Vietnam Airlines,Economy,Nonstop,3387000
2024-12-05,SGN,HAN,2024-12-06 22:40,2024-12-07 00:45,Vietnam Airlines,Economy,Nonstop,3387000
2024-12-05,SGN,HAN,2024-12-06 07:45,2024-12-06 09:55,Bamboo Airways,Economy,Nonstop,3391000
2024-12-05,SGN,HAN,2024-12-06 15:10,2024-12-06 17:20,Bamboo Airways,Economy,Nonstop,3391000
2024-12-05,SGN,HAN,2024-12-06 18:05,2024-12-06 20:15,Vietjet,Economy,Nonstop,3456200
2024-12-05,SGN,HAN,2024-12-06 23:00,2024-12-07 01:05,Vietnam Airlines,Economy,Nonstop,3582000
2024-12-05,SGN,HAN,2024-12-06 23:00,2024-12-07 01:05,Vietjet,Economy,Nonstop,3607400
2024-12-05,SGN,HAN,2024-12-06 17:45,2024-12-06 19:55,Vietravel Airlines,Economy,Nonstop,3683000
2024-12-05,SGN,HAN,2024-12-06 05:00,2024-12-06 07:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 05:30,2024-12-06 07:35,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 06:00,2024-12-06 08:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 06:30,2024-12-06 08:35,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 07:00,2024-12-06 09:10,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 07:30,2024-12-06 09:40,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 08:00,2024-12-06 10:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 09:00,2024-12-06 11:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 09:30,2024-12-06 11:35,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 10:00,2024-12-06 12:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 11:00,2024-12-06 13:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 12:00,2024-12-06 14:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 13:00,2024-12-06 15:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 13:40,2024-12-06 15:50,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 14:00,2024-12-06 16:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 15:30,2024-12-06 17:40,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 16:00,2024-12-06 18:10,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 16:40,2024-12-06 18:45,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 17:00,2024-12-06 19:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 18:00,2024-12-06 20:10,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 19:00,2024-12-06 21:15,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 19:30,2024-12-06 21:35,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 20:00,2024-12-06 22:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 20:40,2024-12-06 22:50,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 21:00,2024-12-06 23:05,Vietnam Airlines,Economy,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 15:00,2024-12-06 17:05,Vietnam Airlines,Economy,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 05:00,2024-12-06 07:05,Vietnam Airlines,Business,Nonstop,3741000
2024-12-05,SGN,HAN,2024-12-06 05:30,2024-12-06 07:35,Vietnam Airlines,Business,Nonstop,4497000
2024-12-05,SGN,HAN,2024-12-06 22:40,2024-12-07 00:45,Vietnam Airlines,Business,Nonstop,4497000
2024-12-05,SGN,HAN,2024-12-06 23:00,2024-12-07 01:05,Vietnam Airlines,Business,Nonstop,4497000
2024-12-05,SGN,HAN,2024-12-06 22:05,2024-12-07 00:10,Vietnam Airlines,Business,Nonstop,5860000
2024-12-05,SGN,HAN,2024-12-06 06:30,2024-12-06 08:35,Vietnam Airlines,Business,Nonstop,6400000
2024-12-05,SGN,HAN,2024-12-06 20:40,2024-12-06 22:50,Vietnam Airlines,Business,Nonstop,6400000
2024-12-05,SGN,HAN,2024-12-06 06:00,2024-12-06 08:05,Vietnam Airlines,Business,Nonstop,7588000
2024-12-05,SGN,HAN,2024-12-06 21:00,2024-12-06 23:05,Vietnam Airlines,Business,Nonstop,7588000
2024-12-05,SGN,HAN,2024-12-06 07:00,2024-12-06 09:10,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 07:30,2024-12-06 09:40,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 08:00,2024-12-06 10:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 09:00,2024-12-06 11:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 09:30,2024-12-06 11:35,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 10:00,2024-12-06 12:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 11:00,2024-12-06 13:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 12:00,2024-12-06 14:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 13:00,2024-12-06 15:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 13:40,2024-12-06 15:50,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 14:00,2024-12-06 16:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 15:00,2024-12-06 17:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 15:30,2024-12-06 17:40,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 16:00,2024-12-06 18:10,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 16:40,2024-12-06 18:45,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 17:00,2024-12-06 19:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 18:00,2024-12-06 20:10,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 19:00,2024-12-06 21:15,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 19:30,2024-12-06 21:35,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 20:00,2024-12-06 22:05,Vietnam Airlines,Business,Nonstop,8776000
2024-12-05,SGN,HAN,2024-12-06 14:30,2024-12-07 15:10,China Southern,Business,1 stop in SZX,13565000
2024-12-05,SGN,HAN,2024-12-06 16:55,2024-12-07 14:15,Vietnam Airlines,Business,1 stop in BKK,14809000
2024-12-05,SGN,HAN,2024-12-06 08:00,2024-12-06 14:45,China Southern,Business,1 stop in CAN,19373000
2024-12-05,SGN,HAN,2024-12-06 08:40,2024-12-06 14:15,Vietnam Airlines,Business,1 stop in BKK,20541000
2024-12-05,SGN,DAD,2024-12-06 14:05,2024-12-06 15:30,Bamboo Airways,Economy,Nonstop,1415000
2024-12-05,SGN,DAD,2024-12-06 07:20,2024-12-06 08:40,Vietravel Airlines,Economy,Nonstop,1488440
2024-12-05,SGN,DAD,2024-12-06 14:35,2024-12-06 15:50,Vietjet,Economy,Nonstop,1544600
2024-12-05,SGN,DAD,2024-12-06 18:00,2024-12-06 19:10,Vietnam Airlines,Economy,Nonstop,1746000
2024-12-05,SGN,DAD,2024-12-06 21:35,2024-12-06 22:55,Vietjet,Economy,Nonstop,1382600
2024-12-05,SGN,DAD,2024-12-06 21:45,2024-12-06 23:05,Vietjet,Economy,Nonstop,1382600
2024-12-05,SGN,DAD,2024-12-06 20:55,2024-12-06 22:20,Bamboo Airways,Economy,Nonstop,1415000
2024-12-05,SGN,DAD,2024-12-06 16:35,2024-12-06 17:55,Vietjet,Economy,Nonstop,1544600
2024-12-05,SGN,DAD,2024-12-06 19:05,2024-12-06 20:25,Vietjet,Economy,Nonstop,1544600
2024-12-05,SGN,DAD,2024-12-06 09:40,2024-12-06 11:05,Bamboo Airways,Economy,Nonstop,1577000
2024-12-05,SGN,DAD,2024-12-06 22:05,2024-12-06 23:25,Vietnam Airlines,Economy,Nonstop,1616000
2024-12-05,SGN,DAD,2024-12-06 12:35,2024-12-06 13:50,Vietjet,Economy,Nonstop,1663400
2024-12-05,SGN,DAD,2024-12-06 14:00,2024-12-06 15:20,Vietjet,Economy,Nonstop,1663400
2024-12-05,SGN,DAD,2024-12-06 05:55,2024-12-06 07:15,Vietnam Airlines,Economy,Nonstop,1746000
2024-12-05,SGN,DAD,2024-12-06 18:55,2024-12-06 20:20,Vietnam Airlines,Economy,Nonstop,1875000
2024-12-05,SGN,DAD,2024-12-06 19:55,2024-12-06 21:15,Vietnam Airlines,Economy,Nonstop,1875000
2024-12-05,SGN,DAD,2024-12-06 05:45,2024-12-06 07:05,Vietnam Airlines,Economy,Nonstop,2026000
2024-12-05,SGN,DAD,2024-12-06 16:15,2024-12-06 17:35,Vietnam Airlines,Economy,Nonstop,2026000
2024-12-05,SGN,DAD,2024-12-06 07:25,2024-12-06 08:45,Vietjet,Economy,Nonstop,2084600
2024-12-05,SGN,DAD,2024-12-06 15:30,2024-12-06 16:50,Vietnam Airlines,Economy,Nonstop,2318000
2024-12-05,SGN,DAD,2024-12-06 11:45,2024-12-06 13:05,Vietnam Airlines,Economy,Nonstop,2448000
2024-12-05,SGN,DAD,2024-12-06 07:00,2024-12-06 08:20,Vietnam Airlines,Economy,Nonstop,2499000
2024-12-05,SGN,DAD,2024-12-06 08:00,2024-12-06 09:30,Vietnam Airlines,Economy,Nonstop,2499000
